항목ID,항목코드,항목코드명,,,
YEAR,2001,2001년,,,
YEAR,2002,2002년,,,
YEAR,2003,2003년,,,
YEAR,2004,2004년,,,
YEAR,2005,2005년,,,
YEAR,2006,2006년,,,
YEAR,2007,2007년,,,
YEAR,2008,2008년,,,
YEAR,2009,2009년,,,
YEAR,2010,2010년,,,
YEAR,2011,2011년,,,
YEAR,2012,2012년,,,
YEAR,2013,2013년,,,
YEAR,2014,2014년,,,
YEAR,2015,2015년,,,
YEAR,2016,2016년,,,
YEAR,2017,2017년,,,
YEAR,2018,2018년,,,
YEAR,2019,2019년,,,
A_001,1,남,,,
A_001,2,여,,,
A_002,1,10대,,,
A_002,2,20대,,,
A_002,3,30대,,,
A_002,4,40대,,,
A_002,5,50대,,,
A_002,6,60대,,,
A_004,1,서울,,,
A_004,2,경기/인천,,,
A_004,3,대전/충청/세종,,,
A_004,4,광주/전라/제주,,,
A_004,5,부산/울산/경남,,,
A_004,6,대구/경북,,,
A_004,7,강원,,,
A_006,1,행정관리/전문직,,,
A_006,2,사무직,,,
A_006,3,판매/서비스직,,,
A_006,4,기능/노무직,,,
A_006,5,전업주부,,,
A_006,6,학생(재수생포함),,,
A_006,7,무직/기타,,,
A_007,1,99만원 이하,,,
A_007,2,100-199만원,,,
A_007,3,200-299만원,,,
A_007,4,300-399만원,,,
A_007,5,400-499만원,,,
A_007,6,500-599만원,,,
A_007,7,600-699만원,,,
A_007,8,700-799만원,,,
A_007,9,800-899만원,,,
A_007,10,900-999만원,,,
A_007,11,1000만원 이상,,,
A_007,99,모름/무응답,,,
A_009,1,99만원 이하,,,
A_009,2,100-199만원,,,
A_009,3,200-299만원,,,
A_009,4,300-399만원,,,
A_009,5,400-499만원,,,
A_009,6,500-599만원,,,
A_009,7,600-699만원,,,
A_009,8,700-799만원,,,
A_009,9,800-899만원,,,
A_009,10,900-999만원,,,
A_009,11,1000만원 이상,,,
A_009,99,모름/무응답,,,
A_011,1,99만원 이하,,,
A_011,2,100-199만원,,,
A_011,3,200-299만원,,,
A_011,4,300-399만원,,,
A_011,5,400-499만원,,,
A_011,6,500-599만원,,,
A_011,7,600-699만원,,,
A_011,8,700-799만원,,,
A_011,9,800-899만원,,,
A_011,10,900-999만원,,,
A_011,11,1000만원 이상,,,
A_011,99,모름/무응답,,,
A_013,1,정규교육 없음,,,
A_013,2,초등학교 졸업,,,
A_013,3,중학교 졸업,,,
A_013,4,고등학교 졸업,,,
A_013,5,전문대학 졸업,,,
A_013,6,대학교 졸업,,,
A_013,7,대학원 졸업,,,
A_013,8,중학교 재학,,,
A_013,9,고등학교 재학,,,
A_013,10,전문대학 재학,,,
A_013,11,대학교 재학,,,
A_013,12,대학원 재학,,,
A_013,99,무응답,,,
A_014,1,있다,,,
A_014,2,없다,,,
A_014,9,무응답,,,
A_016,1,자가,,,
A_016,2,전세,,,
A_016,3,월세,,,
A_016,4,영구임대,,,
A_016,5,사택/기타,,,
A_016,9,무응답,,,
A_017,1,단독주택,,,
A_017,2,아파트,,,
A_017,3,연립/다세대/빌라,,,
A_017,4,상가주택,,,
A_017,5,오피스텔,,,
A_017,6,기타,,,
A_018,1,없다,,,
A_018,2,개신교,,,
A_018,3,불교,,,
A_018,4,천주교,,,
