항목ID,항목명,데이터타입,설문 문항
YEAR,조사년도,단수,없음
A_001,성별,단수,귀하의 성별은 무엇입니까?
A_002,연령(10대),단수,귀하의 연령은 무엇입니까?
A_003,연령(1세),주관식,귀하의 연령은 무엇입니까?
A_004,지역(권역),단수,현재 거주하고 계신 지역은 어디인가요?
A_006,직업,단수,귀하의 직업은 무엇입니까?
A_007,가구 월평균 소득(1),단수,귀댁의 월평균 소득은 얼마나 됩니까?
A_009,본인 월평균 소득(1),단수,귀하 본인의 월 평균 소득은 얼마입니까?
A_011,한 달 평균 지출액 (신용카드+체크카드),단수,귀하께서는 한 달 평균 신용카드와 체크카드를 합쳐서 얼마 정도 사용하시나요? 주 사용 카드 뿐만 아니라 본인 이름으로 된 모든 카드의 월평균 사용액을 합해 말씀해주십시오.
A_013,최종학력,단수,귀하의 최종 학력은 어떻게 되십니까?
A_014,현재 정기 월 소득 여부,단수,귀하는 현재 정기적인 월 소득이 있으십니까?
A_016,주거 형태,단수,귀댁은 다음 중 어떤 형태로 살고 계십니까?
A_017,주택 형태,단수,귀댁의 주택형태는 어떻게 되십니까?
A_018,종교,단수,귀하의 종교는 어떻게 되십니까?
A_019,결혼 여부,단수,귀하는 현재 결혼을 하셨습니까?
A_026,자녀 여부,단수,귀하는 자녀가 있으십니까?
A_027,자녀 총 수,단수,귀하의 자녀는 다음 연령대(나이는 만 나이 기준)에 모두 몇 명입니까? - 총 수
A_034,맞벌이 여부,단수,현재 두 분께서는 맞벌이를 하고 계십니까?
B_01_001,"지상파채널(KBS, MBC, SBS, EBS 등) 최근 일주일 시청 여부",단수,"귀하께서는 지난 1주일 동안 KBS, MBC, SBS(지역민방 포함), EBS OBS를 보신 적이 있나요?"
B_01_003,종합편성채널 일주일 시청 여부,단수,귀하께서는 지난 1주일 동안 종합편성 채널을 보신 적이 있으십니까?
B_01_005,케이블 채널 최근 1주 시청 여부,단수,귀하께서는 지난 1주일 동안 케이블 채널을 보신 적이 있습니까?
B_01_013,DMB 최근 일주일 시청 여부,단수,지난 일주일 동안 DMB를 보신 적이 있으십니까?
B_01_015,라디오 최근 일주일 청취 여부,단수,지난 일주일 동안 라디오를 들으신 적이 있으십니까?
B_01_017,PC 인터넷 최근 일주일 이용 여부,단수,귀하께서는 지난 일주일 동안 PC를 통해 인터넷을 이용해 보신 적이 있으십니까?
B_01_019,모바일 인터넷 최근 일주일 이용 여부,단수,귀하께서는 지난 1주일 동안 모바일 기기(스마트폰/태블릿PC)를 통해 인터넷을 이용해 보신 적이 있으십니까?
B_01_021,PC/모바일을 이용한 최근 일주일 TV 시청 여부,단수,지난 1주일 동안 PC/모바일로 TV프로그램을 실시간 시청하신 적이 있으십니까?
B_01_029,일주일 간 PC/모바일로 VOD/다시보기 서비스 이용 경험,단수,귀하께서는 지난 1주일 동안 PC/모바일로 VOD/다시보기 서비스를 이용하신 적이 있으십니까?
B_01_025,온오프라인 신문 최근 1주일 열독 여부,단수,최근 1주일 동안 일간신문을 읽거나 보신 적이 있으십니까? (종인신문+온라인 모두 포함)
B_01_026,잡지 최근 3개월 열독 여부,단수,지난 3개월 동안 잡지를 읽거나 보신 적이 있으십니까?
B_03_001,평일 지상파 채널 시청시간(분),주관식,"귀하께서는 평일에 KBS, MBC, SBS(지역민방포함), EBS, OBS와 같은 지상파 채널을 하루 평균 몇 시간 정도 시청하십니까?"
B_03_002,토요일 지상파 채널 시청시간(분),주관식,"귀하께서는 토요일에 KBS, MBC, SBS(지역민방포함), EBS, OBS와 같은 지상파 채널을 하루 평균 몇 시간 정도 시청하십니까?"
B_03_003,일요일 지상파 채널 시청시간(분),주관식,"귀하께서는 일요일에 KBS, MBC, SBS(지역민방포함), EBS, OBS와 같은 지상파 채널을 하루 평균 몇 시간 정도 시청하십니까?"
B_03_004,평일 하루 평균 종편 시청 시간(분),주관식,귀하께서는 평일에 종합편성 채널을 하루 평균 몇 시간 정도 시청하십니까?
B_03_005,토요일 하루 평균 종편 시청 시간(분),주관식,귀하께서는 토요일에 종합편성 채널을 하루 평균 몇 시간 정도 시청하십니까?
